video,condition,mean_flow,median_flow,max_flow,sd_flow,mean_p90,median_p90,mean_pxsec,duration_sec
P73_Center_cropped00000295,Center,6.378790023894993,6.50964879989624,14.164033889770508,2.5962727361231055,21.13270034400654,21.47701072692871,23.920462589606224,597.6
P75_Center_cropped00000242,Center,7.258562681798369,7.475704193115234,15.647282600402832,3.1754296431100126,21.038773607005503,21.839258193969727,27.219610056743882,597.6
P77_Whole_cropped,Whole,7.510660808325002,7.36832857131958,14.466280937194824,2.34890234701168,22.5953195106335,21.569168090820312,28.16685569642084,338.3774415038998
P80_Whole_cropped00000753,Whole,7.452427353671703,7.311892032623291,14.410244941711426,2.3246710901209884,22.56333834451525,21.34401512145996,27.946602576268884,597.6
P85_Center_cropped00000715,Center,7.394353429125392,7.430298805236816,18.11550521850586,2.395337784118587,22.964043381778595,22.610715866088867,27.728825359220217,150.93333333333334
P86_Whole_cropped00001224,Whole,7.694914024048695,7.874438285827637,15.214936256408691,2.7901113333983116,22.579843908082484,22.866439819335938,28.855927590182606,597.0666666666667
P89_Center_cropped00000678,Center,6.2874948794244965,6.3003082275390625,14.357150077819824,2.7723978474106308,20.216155357867404,20.429126739501953,23.57810579784186,419.2
P8_Center_cropped00000743,Center,7.937862940315474,8.289616584777832,15.479633331298828,3.059102471743104,22.837752794485336,23.796361923217773,29.76698602618303,597.6
P90_Whole_cropped00000234,Whole,8.227754414033544,8.349095344543457,15.96034336090088,2.6597374520007,23.495178143695707,22.972097396850582,30.85407905262579,330.93333333333334
P92_Whole_cropped,Whole,7.685612169205742,7.87341833114624,15.133919715881348,2.6956768623724803,23.76267073873015,24.055635452270508,28.821045634521532,595.4666666666667
P95_Whole_cropped00003920,Whole,7.77998028062284,7.754150629043579,14.159812927246094,2.716127343474242,23.002692346895735,22.504291534423828,29.17492605233565,256.0
P97_Center_cropped00001399,Center,7.123563004891184,7.269541263580322,17.317100524902344,3.0259865863464013,21.49388705418079,22.41565704345703,26.71336126834194,597.6
P98_Whole_cropped00001522,Whole,7.1698524758485815,7.241285085678101,14.700203895568848,2.8816633459437417,21.724889282882213,21.525447845458984,26.88694678443218,597.3333333333334
P9_Whole_cropped00000000,Whole,8.149640456169987,8.097626686096191,15.002574920654297,2.7375782175640997,23.62845103997363,23.171777725219727,30.56115171063745,557.3333333333334
