time_sec,frame_idx,dt_frames,mean_mag,median_mag,p90_mag,max_mag,mean_u,mean_v
10.276933333333334,308,7,8.016287803649902,4.358538627624512,21.396514892578125,37.155513763427734,-1.1086655855178833,-3.3700740337371826
10.5105,315,7,7.586291313171387,4.38939905166626,20.289213180541992,36.0676155090332,-1.2364375591278076,-2.2277257442474365
10.744066666666667,322,7,6.924698829650879,4.27952766418457,18.56439208984375,33.07072448730469,-1.1594699621200562,-0.4523915946483612
10.977633333333333,329,7,6.549428939819336,4.17404842376709,17.348867416381836,31.82269859313965,-1.2812540531158447,0.0747796818614006
11.2112,336,7,6.27608060836792,4.077475547790527,16.506322860717773,30.031217575073242,-1.2885842323303223,0.22320616245269775
11.444766666666666,343,7,5.866671085357666,3.7452774047851562,15.686924934387207,28.45170021057129,-0.9968154430389404,0.09682895988225937
11.678333333333333,350,7,5.740442276000977,3.5930304527282715,15.191246032714844,27.81987762451172,-0.972633421421051,-0.23199985921382904
11.911900000000001,357,7,5.612950801849365,3.6255154609680176,14.566685676574707,27.822607040405273,-1.3079936504364014,-0.32257500290870667
12.145466666666668,364,7,5.62174129486084,3.822568655014038,14.442346572875977,27.922616958618164,-2.1734442710876465,-0.5994547009468079
12.379033333333334,371,7,5.56468391418457,3.986198902130127,14.208736419677734,26.965681076049805,-2.504462242126465,-0.6645663380622864
12.6126,378,7,5.312095642089844,3.728607177734375,13.790634155273438,25.083152770996094,-2.377825975418091,-0.6528862118721008
12.846166666666667,385,7,4.913009166717529,3.0234947204589844,13.256645202636719,25.432533264160156,-1.697019338607788,-0.8476055264472961
13.079733333333333,392,7,4.756005764007568,2.8331432342529297,12.904746055603027,24.916433334350586,-1.4403517246246338,-0.9410138130187988
13.3133,399,7,4.7829179763793945,2.8997597694396973,12.769083023071289,24.253437042236328,-1.7586078643798828,-1.0446850061416626
13.546866666666666,406,7,4.558285713195801,2.7437801361083984,12.127266883850098,24.33583641052246,-1.448693037033081,-0.9616690278053284
13.780433333333333,413,7,4.266139507293701,2.439868450164795,11.46216106414795,22.876853942871094,-1.1927154064178467,-0.9988990426063538
14.014000000000001,420,7,4.295371055603027,2.4758408069610596,11.820459365844727,22.563663482666016,-1.1839362382888794,-1.0447088479995728
14.247566666666668,427,7,4.017298221588135,2.1894588470458984,11.163315773010254,20.079858779907227,-0.4851691722869873,-1.0926883220672607
14.481133333333334,434,7,3.9235825538635254,2.139495372772217,10.721756935119629,19.912763595581055,-0.20836631953716278,-1.1844696998596191
14.7147,441,7,3.8760859966278076,2.1481475830078125,10.525046348571777,19.67380142211914,-0.3662436008453369,-1.1799917221069336
14.948266666666667,448,7,4.0014119148254395,2.6663713455200195,10.460895538330078,18.683124542236328,-0.6356303691864014,-1.105729579925537
15.181833333333334,455,7,3.8737757205963135,2.658951759338379,10.147148132324219,17.87933349609375,-0.4568827450275421,-1.033475399017334
15.4154,462,7,3.6647400856018066,1.8383970260620117,10.253372192382812,21.278581619262695,1.0949188470840454,-1.0215473175048828
15.648966666666666,469,7,3.6213886737823486,1.8041975498199463,10.025308609008789,20.880163192749023,1.163133144378662,-0.9364101886749268
15.882533333333333,476,7,3.590679168701172,1.653374195098877,10.195710182189941,21.32421875,1.5448204278945923,-1.0331741571426392
16.1161,483,7,3.751086473464966,1.733626127243042,10.67544174194336,22.392427444458008,2.3253581523895264,-0.970332145690918
16.349666666666668,490,7,3.6514885425567627,1.557858943939209,10.387716293334961,23.932899475097656,2.23386287689209,-0.9840412139892578
